Filename,True_Label,Predicted_Label,Confidence
bumper_dent\1125.jpeg,bumper_dent,tail_lamp,0.9103
bumper_dent\46.jpeg,bumper_dent,door_dent,0.7623
bumper_dent\syn_2357_598.jpeg,bumper_dent,tail_lamp,0.6182
bumper_dent\syn_8196_222.jpeg,bumper_dent,head_lamp,0.6769
bumper_scratch\1310.jpeg,bumper_scratch,head_lamp,0.9854
bumper_scratch\627.jpeg,bumper_scratch,door_dent,0.7338
bumper_scratch\syn_3833_748.jpeg,bumper_scratch,bumper_dent,0.3616
bumper_scratch\syn_6255_816.jpeg,bumper_scratch,door_scratch,0.8504
bumper_scratch\syn_6793_393.jpeg,bumper_scratch,bumper_dent,0.7564
door_dent\468.jpeg,door_dent,head_lamp,0.1941
door_dent\675.jpeg,door_dent,glass_shatter,0.2067
door_scratch\1180.jpeg,door_scratch,door_dent,0.9691
door_scratch\1329.jpeg,door_scratch,door_dent,0.9387
door_scratch\1438.jpeg,door_scratch,door_dent,0.4814
door_scratch\554.jpeg,door_scratch,door_dent,0.5898
door_scratch\854.jpeg,door_scratch,door_dent,0.4561
door_scratch\syn_2022_89.jpeg,door_scratch,door_dent,0.5122
door_scratch\syn_2251_1438.jpeg,door_scratch,door_dent,0.2928
door_scratch\syn_4811_1287.jpeg,door_scratch,door_dent,0.987
door_scratch\syn_6669_630.jpeg,door_scratch,bumper_dent,0.3001
